gene_name	chr	bp
KCNH7	2	162838730
RPL7P61	2	163153307
RNU6-627P	2	163288995
FIGN	2	163735996
PRPS1P1	2	164213539
CYP2C56P	2	164321933
GRB14	2	164621450
SNORA70F	2	164687777
COBLL1	2	164841822
RNA5SP110	2	164858432
RNA5SP111	2	164895777
SLC38A11	2	164946393
SCN3A	2	165186747
SCN2A	2	165239969
MAPRE1P3	2	165285253
CSRNP3	2	165533549
GALNT3	2	165794247
TTC21B-AS1	2	165933872
TTC21B	2	165953745
SCN1A-AS1	2	166126364
SCN1A	2	166128000
RN7SKP152	2	166180966
SCN9A	2	166311806
SCN7A	2	166494240
XIRP2	2	167135901
XIRP2-AS1	2	167140955
B3GALT1	2	167521249
RNU7-148P	2	167631541
CTAGE14P	2	167716065
B3GALT1-AS1	2	167892917
PHF5AP5	2	168232220
STK39	2	168247559
RN7SL813P	2	168451324
CERS6	2	168456272
MIR4774	2	168582943
RNU6-766P	2	168606496
CERS6-AS1	2	168786427
NOSTRIN	2	168802623
SPC25	2	168890450
G6PC2	2	168901309
ABCB11	2	168970380
DHRS9	2	169069569
UBE2V1P6	2	169115195
LRP2	2	169185323
BBS5	2	169479499
KLHL41	2	169509731
FASTKD1	2	169573816
PPIG	2	169584409
CFAP210	2	169694350
PHOSPHO2	2	169694485
KLHL23	2	169733832
PTCHD3P2	2	169768799
CYB5AP2	2	169790093
SSB	2	169798966
METTL5	2	169824874
UBR3	2	169948445
NSA2P5	2	170078294
RNU6-1006P	2	170120098
MYO3B	2	170189678
MYO3B-AS1	2	170350820
HMGB1P4	2	170602228
LINC01124	2	170714567
SP5	2	170715689
EIF2S2P4	2	170751805
ERICH2-DT	2	170770796
ERICH2	2	170770957
GAD1	2	170817769
GORASP2	2	170929267
TLK1	2	171160564
RPS26P20	2	171375278
METTL8	2	171434035
DCAF17	2	171434328
DAP3P2	2	171491422
RPS15P4	2	171517716
CYBRD1	2	171522475
RPL21P38	2	171587093
DYNC1I2	2	171687749
RNU6-182P	2	171856670
SLC25A12	2	171894238
HAT1	2	171922454
METAP1D	2	171999957
DLX1	2	172085536
DLX2	2	172102900
DLX2-DT	2	172120186
ITGA6	2	172427629
ITGA6-AS1	2	172554365
PDK1	2	172556051
RAPGEF4-AS1	2	172736183
RAPGEF4	2	172744138
ALDH7A1P2	2	172894383
MAP3K20	2	173075846
MAP3K20-AS1	2	173271620
RPS2P18	2	173297629
CDCA7	2	173354873
JPT1P1	2	173431812
CBY1P1	2	173478400
PPIAP66	2	173486362
RPL5P7	2	173872465
SP3	2	173964069
LINC01960	2	174025280
RPSAP24	2	174043008
RN7SL65P	2	174240457
OLA1	2	174248425
LRRC2P1	2	174300956
HNRNPA1P39	2	174310974
LINC01305	2	174327160
SP9	2	174334954
CIR1	2	174395696
SCRN3	2	174395752
GPR155	2	174487074
GPR155-DT	2	174487380
RPA3P1	2	174501952
RNU6-5P	2	174558072
WIPF1-AS1	2	174575227
WIPF1	2	174634579
H3P6	2	174719908
CHRNA1	2	174764466
CHN1	2	174915451
RNU6-763P	2	175022214
RNU6-1290P	2	175029769
RPL21P31	2	175034192
MIR933	2	175167709
ATF2	2	175168173
ATP5MC3	2	175181710
RPS15AP14	2	175184215
EXTL2P1	2	175842887
LNPK	2	176002270
EVX2	2	176083962
HOXD13	2	176092721
HOXD12	2	176099798
HOXD11	2	176105748
HOXD10	2	176108877
HOXD9	2	176122719
HOXD8	2	176129863
HOXD-AS2	2	176136767
MIR10B	2	176150303
HOXD4	2	176151550
HOXD3	2	176157470
HAGLROS	2	176177717
HAGLR	2	176187981
HOXD1	2	176188667
MIR7704	2	176188843
RPSAP25	2	176242111
MTX2	2	176269448
PPIAP67	2	176338637
NRAL	2	176507702
MIR1246	2	176601052
LINC01116	2	176637687
LINC01117	2	176637716
RNU6ATAC14P	2	176664676
FUCA1P1	2	176806337
RPL29P8	2	176809859
RNU6-187P	2	176930090
RNA5SP112	2	177138699
STUB1P1	2	177177695
KRT8P40	2	177197985
MIR4444-1	2	177212726
HNRNPA3	2	177212753
DNAJC19P5	2	177229506
MIR3128	2	177256010
NFE2L2	2	177264723
MIR6512	2	177313882
H3P7	2	177344443
AGPS	2	177392771
IFT70B	2	177552796
IFT70A-AS1	2	177603089
IFT70A	2	177618742
PDE11A-AS1	2	177689876
PDE11A	2	177896975
API5P2	2	177998770
SDHDP5	2	178017993
RNU6-629P	2	178038902
CYCTP	2	178104470
RBM45	2	178112434
RNU5E-9P	2	178142548
OSBPL6	2	178194501
CHROMR	2	178413842
PRKRA	2	178451059
PJVK	2	178452405
NUDCP2	2	178454716
FKBP7	2	178478566
PLEKHA3	2	178480733
TTN-AS1	2	178530757
TTN	2	178807423
RNU7-104P	2	178831449
RPS6P2	2	179001756
CCDC141	2	179050059
SESTD1	2	179264519
RAD52P1	2	179400875
ZNF385B	2	179637326
TXNL4AP1	2	179814251
MIR1258	2	179860908
CWC22	2	180007107
SCHLAP1	2	180692012
FTH1P20	2	180873414
RPL27AP3	2	180939298
UBE2E3-DT	2	180980268
UBE2E3	2	180980807
LINC01934	2	181123930
MIR4437	2	181305652
ITGA4	2	181457713
CERKL	2	181657106
NEUROD1	2	181680520
SAP18P2	2	181694442
RNU6ATAC19P	2	181738606
ITPRID2-DT	2	181891663
ITPRID2	2	181893012
KRT18P29	2	181962478
PPP1R1C	2	181985860
RNA5SP113	2	182048822
RN7SL267P	2	182314284
PDE1A	2	182427033
DNAJC10	2	182716296
RPL31P15	2	182788098
FRZB	2	182866637
RNU6-1122P	2	182873841
NCKAP1	2	183038352
KRT8P10	2	183072486
DUSP19	2	183078747
NUP35	2	183124399
LIN28AP1	2	183260642
CACYBPP2	2	183608119
MIR548AE1	2	184378975
ZNF804A	2	184598529
RPL23AP33	2	184902562
ELF2P4	2	185547818
FSIP2-AS1	2	185739025
FSIP2	2	185743183
RPL21P32	2	185957063
RPL23AP35	2	186261919
LINC01473	2	186326344
MED28P3	2	186364598
ZC3H15	2	186486279
DPRXP1	2	186489083
ITGAV	2	186590184
FAM171B	2	186694039
ZSWIM2	2	186849189
IMPDH1P7	2	187003377
RN7SKP42	2	187122861
CALCRL-AS1	2	187252572
RNU6-989P	2	187270804
GAPDHP59	2	187415552
CALCRL	2	187448258
TFPI	2	187554431
ST13P2	2	187825341
RNA5SP114	2	188276844
LINC01090	2	188287695
GULP1	2	188292268
MIR561	2	188297492
DIRC1	2	188790104
COL3A1	2	188974399
MIR1245A	2	188978092
MIR1245B	2	188978161
MIR3606	2	188995630
MIR3129	2	189133111
COL5A2	2	189179820
KRT18P19	2	189311967
WDR75	2	189441468
KDM3AP1	2	189487992
SLC40A1	2	189582022
ASNSD1	2	189661449
ASDURF	2	189661459
ANKAR	2	189676427
OSGEPL1	2	189762793
OSGEPL1-AS1	2	189762821
ORMDL1	2	189784278
PMS1	2	189784494
TERF1P6	2	189917758
HNRNPCP2	2	189923336
RNF11P1	2	189931010
MSTN	2	190062729
C2orf88	2	190180482
HIBCH	2	190281097
INPP1	2	190343951
MFSD6	2	190435301
NEMP2	2	190534357
NEMP2-DT	2	190534972
RN7SKP179	2	190553480
NAB1	2	190649049
GLS	2	190902957
RAB1AP1	2	190993567
STAT1	2	191014168
STAT4-AS1	2	191026138
RNU6-959P	2	191121950
STAT4	2	191151228
HMGB1P27	2	191174233
MYO1B	2	191245587
MYO1B-AS1	2	191246209
RNU6-1045P	2	191370938
NABP1	2	191678175
CAVIN2	2	191847086
DNAJB1P1	2	191882205
CAVIN2-AS1	2	192028570
TMEFF2	2	192194919
PCGEM1	2	192749845
RPS17P8	2	192774082
SLC44A3P1	2	193256483
DNAJC17P1	2	193277614
SEC61GP1	2	193730689
GLULP6	2	194130266
HNRNPA1P47	2	194187379
LINC01821	2	194344253
LINC01790	2	194730595
RNU6-169P	2	195514036
LINC01825	2	195532973
LINC01827	2	195574515
AHCYP5	2	195584031
SLC39A10	2	195657214
RNU6-915P	2	195670474
DNAH7	2	195870095
E2F3P2	2	195995680
STK17B	2	196171555
HECW2-AS1	2	196260066
RN7SL820P	2	196289409
HECW2	2	196362097
CCDC150	2	196713099
GTF3C3	2	196799652
C2orf66	2	196809355
PGAP1	2	196926729
HNRNPA3P15	2	197014990
RPL4P7	2	197030143
ANKRD44-AS1	2	197198019
ANKRD44	2	197254342
ATP5MC2P3	2	197263111
ANKRD44-IT1	2	197308999
ANKRD44-DT	2	197311318
NPM1P46	2	197380892
SF3B1	2	197435026
RNU6-1029P	2	197447745
COQ10B	2	197453538
HSPD1	2	197499873
HSPE1	2	197500310
HSPE1-MOB4	2	197500413
MOB4	2	197516066
RFTN2	2	197675587
MARS2	2	197705369
BOLL	2	197785815
PLCL1	2	197810258
LINC01923	2	198374828
RNU7-147P	2	199191059
SATB2	2	199460145
SATB2-AS1	2	199468842
LINC01877	2	199608109
SEPHS1P6	2	199659551
FTCDNL1	2	199851152
RN7SL717P	2	199901377
C2orf69	2	199911299
TYW5	2	199955500
MAIP1	2	199955701
SPATS2L	2	200306732
RNY4P34	2	200373175
KCTD18	2	200510068
SGO2	2	200526251
AOX1	2	200586057
AOX3P	2	200678233
AOX3P-AOX2P	2	200734873
LINC01792	2	200735176
AOX2P	2	200738608
RNU1-133P	2	200775584
BZW1	2	200811968
BZW1-AS1	2	200812208
RNU6-31P	2	200830009
BICD1P1	2	200844240
RNA5SP115	2	200849144
CLK1	2	200864579
RNU6-312P	2	200881821
PPIL3	2	200889077
NIF3L1	2	200889385
RNU6-762P	2	200899020
ORC2	2	200963649
HNRNPA1P35	2	201063089
RPL23AP30	2	201066691
HYCC2	2	201071644
NDUFB3	2	201072018
RNU6-1206P	2	201079842
RPL17P10	2	201102957
CFLAR	2	201118593
IMPDH1P10	2	201140027
RNU7-45P	2	201141904
CFLAR-AS1	2	201151160
RPL38P5	2	201162680
CASP10	2	201183129
MTND5P25	2	201213081
MTND4P23	2	201214660
MTND4LP13	2	201214950
CASP8	2	201258043
FLACC1	2	201352082
SCYL2P1	2	201413308
TRAK2	2	201451478
STRADB	2	201451769
MTCO2P16	2	201549631
MTATP6P16	2	201550524
MTCO3P16	2	201552859
MTND3P16	2	201553688
MTND4LP16	2	201554096
MTND4P29	2	201554384
MTND5P31	2	201556892
C2CD6	2	201619163
ENO1P4	2	201623430
TMEM237	2	201642661
RNU6-651P	2	201646716
MPP4	2	201698369
RPS2P16	2	201762737
ALS2	2	201769156
CDK15	2	201806558
UBE2V1P11	2	201824548
RNU6-440P	2	201927439
FZD7	2	202033855
KIAA2012	2	202073289
KIAA2012-AS1	2	202115398
PSMA2P3	2	202179297
DAZAP2P1	2	202201886
RPL39P14	2	202231696
SUMO1	2	202238573
NOP58	2	202265772
SNORD70	2	202276431
SNORD70B	2	202278108
SNORD11B	2	202291332
SNORD11	2	202293051
RN7SL753P	2	202333439
PIMREGP1	2	202336727
RN7SL40P	2	202357417
BMPR2	2	202377434
H3P8	2	202505343
RPL13AP12	2	202520401
MTCO1P17	2	202614214
MTCO2P17	2	202614853
MTATP6P17	2	202615769
MTCO3P17	2	202616700
MTND3P17	2	202617284
MTND4LP17	2	202617695
MTND4P30	2	202617983
MTCO1P54	2	202619896
FAM117B	2	202635229
KRT8P15	2	202841781
ICA1L	2	202871481
WDR12	2	202911657
CARF	2	202912278
KRT8P52	2	202924609
NBEAL1	2	203016375
RPL7P14	2	203040108
RPL23AP36	2	203075142
RPL12P16	2	203190780
CYP20A1	2	203239018
RN7SL670P	2	203259604
MRPL50P2	2	203315871
ABI2	2	203328303
RAPH1	2	203535290
CD28	2	203706550
KRT18P39	2	203765593
NPM1P33	2	203773502
RNU6-474P	2	203782037
CTLA4	2	203867943
ICOS	2	203936780
DSTNP5	2	204306842
PARD3B	2	204824846
NRP2	2	205685793
NRP2-AS1	2	205763950
RN7SKP178	2	205900630
PPIAP68	2	205949091
RPL27P8	2	206040432
INO80D-AS1	2	206085722
INO80D	2	206085751
GCSHP3	2	206116500
NDUFS1	2	206159425
EEF1B2	2	206159760
SNORD51	2	206161878
SNORA41	2	206162228
CMKLR2-AS	2	206203561
CMKLR2	2	206217900
RN7SKP200	2	206221315
ATP5POP1	2	206236871
HMGN1P6	2	206259918
RN7SKP260	2	206260214
ZDBF2	2	206274985
ACER2P1	2	206410909
HNRNPA1P51	2	206420238
ADAM23	2	206443560
LINC03097	2	206640073
FAM237A	2	206642487
VPS26CP1	2	206687362
DYTN	2	206718396
MDH1B	2	206765304
FASTKD2	2	206765604
MIR3130-2	2	206783234
MIR3130-1	2	206783308
CPO	2	206939518
MIR2355	2	207110073
KLF7-IT1	2	207122044
KLF7	2	207166018
MIR7845	2	207166400
MYOSLID	2	207170297
MYOSLID-AS1	2	207254486
LINC01802	2	207255085
MIR1302-4	2	207269424
CREB1	2	207551442
METTL21A	2	207625322
RPS29P9	2	207654781
LINC01857	2	207662377
RNU6-664P	2	207680639
PPP1R14BP2	2	207681590
CCNYL1	2	207711679
MIR4775	2	207754807
FZD5	2	207769907
RNU6-360P	2	208019741
PLEKHM3	2	208025527
RPL9P14	2	208031953
RNA5SP116	2	208054258
RPL12P17	2	208057745
CRYGEP	2	208112511
CRYGD	2	208124524
CRYGC	2	208129828
CRYGB	2	208146158
CRYGA	2	208163589
C2orf80	2	208188532
RPSAP27	2	208208135
TPT1P2	2	208222625
IDH1	2	208254972
IDH1-AS1	2	208255205
PIKFYVE	2	208266255
MYL6BP1	2	208269957
ARPC1BP1	2	208361369
PTH2R	2	208447939
H3P9	2	208466626
RNA5SP117	2	208920664
HSPA8P6	2	209074148
CRYGFP	2	209145241
MEAF6P1	2	209178804
PKP4P1	2	209178966
MAP2	2	209579431
RNA5SP118	2	209722021
SNAI1P1	2	209808804
UNC80	2	209829229
RPE	2	210002638
KANSL1L-AS1	2	210030652
RPL6P6	2	210088226
KANSL1L	2	210170624
ACADL	2	210225113
MYL1	2	210309400
LANCL1-AS1	2	210324725
LANCL1	2	210476739
CPS1	2	210554739
CPS1-IT1	2	210617571
RPS27P10	2	211299189
RNA5SP119	2	211535653
MTND2P23	2	211777206
MTCO1P46	2	211778273
MIR548F2	2	212426360
ERBB4	2	212483888
LINC01878	2	212795330
PCED1CP	2	212832161
MIR4776-1	2	212926257
MIR4776-2	2	212926336
IKZF2	2	213150504
LINC01953	2	213167718
SPAG16-DT	2	213284374
SPAG16	2	213284459
MIR4438	2	213758067
RPL5P8	2	214281452
VWC2L	2	214411065
VWC2L-IT1	2	214510196
ENSAP3	2	214697727
BARD1	2	214809658
SNHG31	2	214810199
SNORA70I	2	214846947
RPL10P6	2	214847128
ABCA12	2	215138404
LINC02862	2	215274942
ATIC	2	215312087
FN1	2	215382406
FN1-DT	2	215436225
LINC01614	2	215717859
LINC00607	2	215827483
MREG	2	216033381
PECR	2	216081790
TMEM169	2	216081895
XRCC5	2	216109380
POLHP1	2	216156811
LINC01963	2	216217373
MARCHF4-AS1	2	216303325
MARCHF4	2	216372483
SMARCAL1-AS1	2	216412696
SMARCAL1	2	216412744
RPL37A-DT	2	216498778
RPL37A	2	216498850
LINC01280	2	216606914
PSMB3P2	2	216610959
IGFBP2	2	216633422
IGFBP5	2	216694880
RPL31P14	2	216786144
RNA5SP120	2	216793600
FABP5P14	2	216806129
TNP1	2	216860064
TESHL	2	216869156
RN7SKP43	2	217251556
DIRC3	2	217517074
RPL7L1P9	2	217761291
MIR6809	2	217900628
TNS1	2	217904637
TNS1-AS1	2	217978707
CXCR2P1	2	218061412
RUFY4	2	218069014
CXCR2	2	218125731
CXCR1	2	218166962
HMGB1P9	2	218200434
ARPC2	2	218217194
GPBAR1	2	218260378
AAMP	2	218270131
PNKD	2	218270525
MIR6513	2	218280188
TMBIM1	2	218287317
MIR6810	2	218341911
RPL19P5	2	218354075
CATIP	2	218357485
CATIP-AS2	2	218357991
CATIP-AS1	2	218367906
SLC11A1	2	218382276
CTDSP1	2	218400044
MIR26B	2	218402646
VIL1	2	218419122
RN7SKP38	2	218501037
USP37	2	218568318
CNOT9	2	218568859
RNU6-136P	2	218589320
PLCD4	2	218609740
ZNF142	2	218659542
BCS1L	2	218659733
RNF25	2	218671981
STK36	2	218672339
TTLL4	2	218733988
CYP27A1	2	218782147
MIR9500	2	218823090
PRKAG3	2	218831803
RPL23AP31	2	218841599
WNT6	2	218859885
WNT10A	2	218881526
RNU6-642P	2	218916287
KRT8P30	2	218954050
CDK5R2-AS1	2	218959469
CDK5R2	2	218959666
LINC00608	2	218976257
FEV	2	218984829
CRYBA2	2	218993411
MIR375	2	219001708
CFAP65	2	219040359
MIR3131	2	219058750
IHH	2	219060921
RN7SL764P	2	219102434
NHEJ1	2	219160791
SLC23A3	2	219170032
CNPPD1	2	219178107
RETREG2	2	219178277
ZFAND2B	2	219206841
ABCB6	2	219218849
ATG9A	2	219229537
ANKZF1	2	219229861
GLB1L	2	219245344
STK16	2	219245506
TUBA4A	2	219253917
TUBA4B	2	219259837
DNAJB2	2	219279517
MIR153-1	2	219294200
PTPRN	2	219309365
RESP18	2	219332910
DNPEP	2	219387829
DNPEP-AS1	2	219388528
DES	2	219418382
SPEG	2	219445298
SPEGNB	2	219496911
GMPPA	2	219498899
ASIC4	2	219514482
ASIC4-AS1	2	219516877
CHPF	2	219543676
TMEM198	2	219544006
MIR3132	2	219549147
INHA	2	219570736
OBSL1	2	219571296
RN7SKP213	2	219590984
STK11IP	2	219598100
SLC4A3	2	219627630
DNAJB6P3	2	219684795
LINC02832	2	219688481
RPL23P4	2	219697799
LINC01803	2	219904918
MIR4268	2	219906565
TMEM256P2	2	221532668
EPHA4	2	221570882
RPL23P5	2	221592441
LLPHP3	2	221944223
HSPA9P1	2	221961737
RPL23AP28	2	222044994
PAX3	2	222298702
CCDC140	2	222300562
CT75	2	222319319
RNF228	2	222320155
SGPP2	2	222424527
NANOGP2	2	222453126
RNU6-619P	2	222498291
GAPDHP49	2	222504843
FARSB	2	222656091
MOGAT1	2	222671658
RRAS2P2	2	222678289
RPL31P17	2	222726457
ACSL3	2	222861261
ATG12P2	2	222905055
ACSL3-AS1	2	222919363
KCNE4	2	223052195
RN7SL807P	2	223248794
HIGD1AP4	2	223398546
SCG2	2	223602322
MLXP1	2	223704621
AP1S3	2	223837580
WDFY1	2	223945300
MRPL44	2	223957433
SERPINE2	2	224039236
USP21P1	2	224169664
FAM124B	2	224402094
ANKRD49P1	2	224500100
CUL3	2	224566572
CCDC195	2	224729317
DOCK10	2	224931651
MIR4439	2	225010540
NYAP2	2	225400136
MIR5702	2	226658793
IRS1	2	226799774
RHBDD1	2	226836084
COL4A4	2	227147584
COL4A3	2	227304193
MFF-DT	2	227325186
MFF	2	227325276
TM4SF20	2	227380650
SCYGR1	2	227387949
MIR5703	2	227472132
AGFG1	2	227472168
SCYGR9	2	227587515
SCYGR2	2	227598893
SCYGR10	2	227608784
SCYGR3	2	227614840
SCYGR4	2	227617498
SLC19A4P	2	227633320
SCYGR5	2	227666804
SLC19A3	2	227717997
SCYGR6	2	227724757
SCYGR7	2	227728335
SCYGR8	2	227745894
RNA5SP121	2	227763152
SNRPGP8	2	227778735
CCL20	2	227813842
CRIPTOP2	2	227870644
DAW1	2	227871633
RNU6-624P	2	228169743
SPHKAP	2	228181626
SNF8P1	2	228353215
LINC01807	2	228568693
RPL7L1P10	2	228753324
RPL17P14	2	229003886
RN7SKP283	2	229236609
PID1	2	229271265
RNU7-9P	2	229606238
DNER	2	229714535
RNU6-613P	2	229894346
TRIP12	2	229921903
FBXO36	2	229922497
RNU6-964P	2	229937882
FBXO36-IT1	2	229942728
RNU6-1027P	2	229973315
RNY4P19	2	230058324
SLC16A14	2	230068907
SP110	2	230219966
SP140	2	230225745
SP140L	2	230327195
SP100	2	230416266
RN7SL834P	2	230507101
HMGB1P3	2	230515023
TPM3P8	2	230573809
RNU6-451P	2	230587121
LINC01907	2	230697331
CAB39	2	230712875
BANF1P3	2	230725403
RNU6-268P	2	230752141
ITM2C	2	230865114
GCSIR	2	230886503
GPR55-AS1	2	230914467
GPR55	2	230925272
COX20P2	2	230957593
SPATA3-AS1	2	230996027
SPATA3	2	230996234
C2orf72	2	231037542
PSMD1	2	231056899
HTR2B	2	231125069
RNU1-93P	2	231133462
ARMC9	2	231198701
RPS28P4	2	231256097
MIR4777	2	231362708
B3GNT7	2	231396443
ZBTB8OSP2	2	231434426
HIGD2AP1	2	231437421
SNORA75	2	231455936
SNORD20	2	231456523
SNORD82	2	231460440
NCL	2	231464484
RNU2-22P	2	231502201
LINC00471	2	231514364
NMUR1	2	231530445
RPL21P35	2	231559903
RPL23AP26	2	231585864
TEX44	2	231592864
RN7SL499P	2	231646273
PTMA	2	231708530
MIR1244-1	2	231713314
PDE6D	2	231781290
COPS7B	2	231786438
RPL28P2	2	231789887
MIR1471	2	231892298
NPPC	2	231926393
DIS3L2	2	231961755
MIR562	2	232172653
NRBF2P6	2	232343116
ECEL1P3	2	232351309
ALPP	2	232378751
ECEL1P2	2	232386872
ALPG	2	232406844
ECEL1P1	2	232419816
DIS3L2P1	2	232442034
ALPI	2	232456139
ECEL1	2	232487834
PRSS56	2	232521444
CHRND	2	232526174
CHRNG	2	232539727
TIGD1	2	232550557
MIR5001	2	232550573
EIF4E2	2	232550692
EFHD1	2	232633660
RN7SL359P	2	232649849
GIGYF2	2	232697352
EEF1B2P7	2	232730198
KCNJ13	2	232773980
RNU6-107P	2	232782665
SNORC	2	232870264
NGEF	2	232994008
NEU2	2	233027852
INPP5D	2	233161756
RN7SL32P	2	233205199
ATG16L1	2	233251683
SCARNA5	2	233275727
SCARNA6	2	233288676
SAG	2	233312032
DGKD	2	233387104
USP40	2	233518072
PPFIA1P1	2	233545482
UGT1A12P	2	233585439
UGT1A11P	2	233603553
UGT1A8	2	233617633
UGT1A10	2	233636475
UGT1A13P	2	233647926
UGT1A9	2	233671898
UGT1A7	2	233682134
UGT1A6	2	233692300
UGT1A5	2	233712907
UGT1A4	2	233718778
RPL17P11	2	233722065
UGT1A3	2	233729042
DNAJB3	2	233743916
UGT1A2P	2	233747214
UGT1A1	2	233760279
MROH2A	2	233779000
HJURP	2	233850304
MSL3B	2	233868369
TRPM8	2	233959845
SPP2	2	234050694
RPS20P12	2	234329483
LINC01891	2	234454595
HSPE1P9	2	234455783
ARL4C	2	234497067
LINC01173	2	234682670
SH3BP4	2	234981391
CEP19P1	2	235147500
AGAP1-IT1	2	235505645
AGAP1	2	235524324
TMSB10P1	2	235882493
RNU7-127P	2	236037250
RN7SL204P	2	236072295
GBX2-AS1	2	236167462
GBX2	2	236168009
RNU1-31P	2	236210548
ASB18	2	236259265
IQCA1-AS1	2	236391074
RPL3P5	2	236409077
IQCA1	2	236503697
ACKR3	2	236567777
RNU6-1051P	2	237015305
COPS8-DT	2	237084793
COPS8	2	237085898
COL6A3	2	237401109
MLPH	2	237487269
MIR6811	2	237510931
PRLH	2	237563064
RNU6-1140P	2	237563165
RAB17	2	237590731
RAB17-DT	2	237591094
LRRFIP1	2	237627605
RBM44	2	237798779
RAMP1	2	237859622
UBE2F-SCLY	2	237967044
UBE2F	2	237967053
RNU6-1333P	2	238029063
SCLY	2	238061054
ESPNL	2	238127390
KLHL30	2	238138714
ERFE	2	238163992
KLHL30-AS1	2	238169973
ILKAP	2	238203663
LINC02610	2	238231664
HES6	2	238240035
PER2	2	238288610
TRAF3IP1	2	238320525
RNU6-234P	2	238412642
ASB1	2	238427029
LINC01107	2	238554682
LINC01937	2	238569790
TWIST2	2	238848079
LINC01940	2	238924295
MIR4440	2	239068914
MIR4441	2	239085926
HDAC4-AS2	2	239194118
MIR4269	2	239305462
MIR2467	2	239351804
HDAC4	2	239400838
HDAC4-AS1	2	239401688
LINC02991	2	239578301
MIR4786	2	239943094
NDUFA10	2	240025338
OR6B2	2	240030429
OR6B3	2	240053664
OR9S24P	2	240079433
OR5S1P	2	240109102
COPS9	2	240136305
OTOS	2	240140658
GPC1	2	240452811
MIR149	2	240456001
GPC1-AS1	2	240456726
ANKMY1	2	240558021
DUSP28	2	240560792
RNPEPL1	2	240568555
CAPN10-DT	2	240586475
CAPN10	2	240586752
GPR35	2	240619768
AQP12B	2	240682880
AQP12A	2	240695381
KIF1A	2	240818972
AGXT	2	240868825
MAB21L4	2	240896833
CROCC2	2	240919427
UICLM	2	240959577
TANAR	2	240986072
SNED1	2	241035534
SNED1-AS1	2	241064128
MTERF4	2	241102295
PASK	2	241149453
PPP1R7	2	241150481
ANO7	2	241199097
HDLBP	2	241272845
SEPTIN2	2	241315928
FARP2	2	241373189
MIR3133	2	241477905
KCTD5P1	2	241478316
STK25	2	241508362
BOK-AS1	2	241553604
BOK	2	241558754
RNA5SP122	2	241584968
THAP4	2	241637040
ATG4B	2	241637697
DTYMK	2	241686805
ING5	2	241702041
D2HGDH	2	241734654
GAL3ST2	2	241776822
GAL3ST2-AS1	2	241801907
NEU4	2	241811000
PDCD1	2	241858879
RTP5	2	241869664
LINC01237	2	241881935
FAM240C	2	241900464
LINC01880	2	242084235
LINC03100	2	242088457
LINC01881	2	242094894
CICP10	2	242120053
SEPTIN14P2	2	242122287
RPL23AP88	2	242175181
LINC01986	3	11760
CHL1-AS2	3	196768
CHL1	3	198014
RNU6-1194P	3	282792
RPS8P6	3	309322
CHL1-AS1	3	379923
LINC01266	3	536230
RPSAP32	3	618314
RN7SL120P	3	1065875
CNTN6	3	1092932
CRB3P1	3	1394448
RPL23AP38	3	1596245
RPL23AP39	3	1730070
RPL21P17	3	1905651
RN7SKP144	3	2089211
CNTN4-AS2	3	2137524
HINT2P1	3	2362258
CNTN4	3	2511629
DNAJC19P4	3	2985575
CNTN4-AS1	3	3065193
IL5RA	3	3110365
TRNT1	3	3126970
CRBN	3	3179674
LRRN1	3	3799433
PNPT1P1	3	3984295
SETMAR	3	4303367
MRPS10P2	3	4414960
SUMF1	3	4467261
ITPR1-DT	3	4493181
ITPR1	3	4711586
EGOT	3	4751590
BHLHE40	3	4979437
BHLHE40-AS1	3	4979846
RNF10P1	3	5069044
UBTFL8	3	5084429
CD24P5	3	5099627
ARL8B	3	5122304
EDEM1	3	5187764
MIR4790	3	5250255
RN7SL553P	3	5253223
MTARC2P1	3	6208269
YWHAQP10	3	6692319
MRPS36P1	3	6773343
GRM7-AS3	3	6805417
GRM7-AS2	3	6894022
GRM7	3	7222514
GRM7-AS1	3	7547808
RNU4ATAC17P	3	8364648
LMCD1-AS1	3	8501678
LMCD1	3	8501829
SSUH2	3	8668159
OR7E122P	3	8688143
CAV3	3	8733836
OXTR	3	8769271
RAD18	3	8963443
SRGAP3-AS1	3	9014067
SRGAP3	3	9149023
SRGAP3-AS2	3	9192492
SRGAP3-AS3	3	9216895
SRGAP3-AS4	3	9249739
PGAM1P4	3	9348443
THUMPD3	3	9363060
THUMPD3-AS1	3	9397035
SETD5	3	9433508
LHFPL4	3	9553811
DUSP5P2	3	9600748
MTMR14	3	9649486
CPNE9	3	9703833
BRPF1	3	9731788
OGG1	3	9750085
CAMK1	3	9769943
TADA3	3	9792473
ARPC4	3	9793083
ARPC4-TTLL3	3	9793114
TTLL3	3	9813271
RPUSD3	3	9843995
CIDEC	3	9879104
JAGN1	3	9890610
IL17RE	3	9902849
IL17RC	3	9917135
RNU6-882P	3	9919153
CRELD1	3	9933857
PRRT3-AS1	3	9947370
PRRT3	3	9952377
EMC3	3	9986842
EMC3-AS1	3	9987904
CYCSP10	3	10000940
CIDECP1	3	10023747
FANCD2	3	10026460
RNU6-670P	3	10037552
CYCSP11	3	10058287
FANCD2OS	3	10106426
BRK1	3	10115674
VHL	3	10141791
IRAK2	3	10164901
TATDN2	3	10259689
LINC00852	3	10284419
GHRLOS	3	10287957
GHRL	3	10292925
SEC13	3	10321059
MIR378B	3	10330229
MIR885	3	10394562
